city_id,place_id,year,month,northdeg,lat,lon,file_path
Bangkok,3926,2019,4,374,13.76010065362491,100.4925833082747,downloaded_data/Images/Bangkok/Bangkok_0003926_2019_04_374_13.76010065362491_100.4925833082747_F6aetpKWQ5whK9MMZRt2VA.jpg
Bangkok,4049,2018,1,273,13.76123224335336,100.5267225251163,downloaded_data/Images/Bangkok/Bangkok_0004049_2018_01_273_13.76123224335336_100.5267225251163_8GHK-iUI70mhW6QZcZYArg.jpg
Bangkok,631,2017,5,421,13.72219835893026,100.5077968176491,downloaded_data/Images/Bangkok/Bangkok_0000631_2017_05_421_13.72219835893026_100.5077968176491_I-eC_IgDrr8UR1tXR9RFXw.jpg
Bangkok,2335,2018,7,137,13.74114079161993,100.5546787091364,downloaded_data/Images/Bangkok/Bangkok_0002335_2018_07_137_13.74114079161993_100.5546787091364_384cIVt6vLUkHaue1PzASQ.jpg
Bangkok,1554,2011,12,420,13.732238342627,100.5596264722345,downloaded_data/Images/Bangkok/Bangkok_0001554_2011_12_420_13.732238342627_100.5596264722345_xNoF9vTZFTienDaU0bIxsw.jpg
Bangkok,430,2011,12,353,13.71933410407309,100.5627389280874,downloaded_data/Images/Bangkok/Bangkok_0000430_2011_12_353_13.71933410407309_100.5627389280874_972MwjHIk4pJdLWPf7o5iQ.jpg
Bangkok,4515,2018,10,620,13.76620455363521,100.5617351572036,downloaded_data/Images/Bangkok/Bangkok_0004515_2018_10_620_13.76620455363521_100.5617351572036_IlwcpAhINv9djXizU2GSMg.jpg
Bangkok,4810,2020,8,207,13.77028979403779,100.5085268721778,downloaded_data/Images/Bangkok/Bangkok_0004810_2020_08_207_13.77028979403779_100.5085268721778_GLtxlfHCS_m2gxLzpRicOw.jpg
Bangkok,3788,2016,8,355,13.75850079911781,100.5328524907767,downloaded_data/Images/Bangkok/Bangkok_0003788_2016_08_355_13.75850079911781_100.5328524907767_-qJRcHzzZLkOH9n9sTtzcA.jpg
Bangkok,1038,2018,3,483,13.72627909466443,100.5696412240915,downloaded_data/Images/Bangkok/Bangkok_0001038_2018_03_483_13.72627909466443_100.5696412240915_QYKdIcXiO2kDdYRoDu1ecA.jpg
Bangkok,414,2018,9,237,13.71917761158531,100.5514938700548,downloaded_data/Images/Bangkok/Bangkok_0000414_2018_09_237_13.71917761158531_100.5514938700548_IU__erDtttIEd6_QYVkHRg.jpg
Bangkok,4843,2020,9,387,13.77006752270147,100.5410740136284,downloaded_data/Images/Bangkok/Bangkok_0004843_2020_09_387_13.77006752270147_100.5410740136284_wLxE_68s6ppxZmI5HGP8cg.jpg
Bangkok,3117,2018,9,340,13.75069277012061,100.5607850606417,downloaded_data/Images/Bangkok/Bangkok_0003117_2018_09_340_13.75069277012061_100.5607850606417_fRHBOEwmVZh4tuKta008zw.jpg
Bangkok,4677,2020,9,345,13.76819822332704,100.5506806227196,downloaded_data/Images/Bangkok/Bangkok_0004677_2020_09_345_13.76819822332704_100.5506806227196_rDw1aD7AwocJplSOiJPcsg.jpg
Bangkok,2672,2019,5,302,13.745206019962,100.5478485147244,downloaded_data/Images/Bangkok/Bangkok_0002672_2019_05_302_13.745206019962_100.5478485147244_dBjaKYDnSq9B1JqZAdVysg.jpg
Bangkok,2534,2017,6,360,13.74434442438776,100.4937045647015,downloaded_data/Images/Bangkok/Bangkok_0002534_2017_06_360_13.74434442438776_100.4937045647015_If5V3VqHPjk5-U0Dcac4jQ.jpg
Bangkok,4631,2018,9,405,13.76777688986863,100.5082271373301,downloaded_data/Images/Bangkok/Bangkok_0004631_2018_09_405_13.76777688986863_100.5082271373301__13_Y-8PEmbnOL2vvgVnVQ.jpg
Bangkok,3685,2017,7,465,13.75685407007268,100.5187359059223,downloaded_data/Images/Bangkok/Bangkok_0003685_2017_07_465_13.75685407007268_100.5187359059223_fehA0xwtA3i3WdVNE4nhsQ.jpg
Bangkok,3171,2012,4,508,13.75096781056121,100.5252000240352,downloaded_data/Images/Bangkok/Bangkok_0003171_2012_04_508_13.75096781056121_100.5252000240352_TOqkgOP-axgHgtluAX35mg.jpg
Bangkok,1082,2016,10,168,13.72718643745594,100.5187293501618,downloaded_data/Images/Bangkok/Bangkok_0001082_2016_10_168_13.72718643745594_100.5187293501618_E2jjYOn-NX1-JxgPbqjhWQ.jpg
Bangkok,1021,2018,8,220,13.72619789001399,100.5439132449738,downloaded_data/Images/Bangkok/Bangkok_0001021_2018_08_220_13.72619789001399_100.5439132449738_lJ_7leGGwUgAScJmZqf1FA.jpg
Bangkok,4394,2019,4,333,13.76509765484676,100.5269668608809,downloaded_data/Images/Bangkok/Bangkok_0004394_2019_04_333_13.76509765484676_100.5269668608809_y_FERasGiZorX_zPVvgZqA.jpg
Bangkok,2956,2020,3,476,13.74846913540707,100.5667322958007,downloaded_data/Images/Bangkok/Bangkok_0002956_2020_03_476_13.74846913540707_100.5667322958007_2oCAxBSJz3eXrkDqLjcpqg.jpg
Bangkok,855,2016,11,156,13.72408809935795,100.5529034842983,downloaded_data/Images/Bangkok/Bangkok_0000855_2016_11_156_13.72408809935795_100.5529034842983_fwxXSrcFTV8zM7rmTyOTMA.jpg
Bangkok,3167,2018,7,373,13.75123317866822,100.5218180985091,downloaded_data/Images/Bangkok/Bangkok_0003167_2018_07_373_13.75123317866822_100.5218180985091_02L3U106QrLzcb92G9H7pQ.jpg
Bangkok,1689,2011,9,249,13.73420164507881,100.5179598609407,downloaded_data/Images/Bangkok/Bangkok_0001689_2011_09_249_13.73420164507881_100.5179598609407_R_1o271HMRizM5V4dP3Qag.jpg
Bangkok,3031,2018,1,392,13.74956213462574,100.5577278512811,downloaded_data/Images/Bangkok/Bangkok_0003031_2018_01_392_13.74956213462574_100.5577278512811_IgKsvZf0Wpk-pXMtSHiTuA.jpg
Bangkok,1537,2018,9,483,13.73226291042499,100.5456887468588,downloaded_data/Images/Bangkok/Bangkok_0001537_2018_09_483_13.73226291042499_100.5456887468588_HXWiDzHcQKemqpmRVIAw7Q.jpg
Bangkok,1756,2020,9,357,13.73516192970638,100.4960139829449,downloaded_data/Images/Bangkok/Bangkok_0001756_2020_09_357_13.73516192970638_100.4960139829449_aQic5SxsFXB_Q1QyQwLAHg.jpg
Bangkok,634,2020,9,402,13.72240755712615,100.5057795427061,downloaded_data/Images/Bangkok/Bangkok_0000634_2020_09_402_13.72240755712615_100.5057795427061_0nbtnffTFVUY732IFxuPZQ.jpg
Bangkok,4571,2019,4,445,13.76732264531912,100.5327500418592,downloaded_data/Images/Bangkok/Bangkok_0004571_2019_04_445_13.76732264531912_100.5327500418592_AooydWRa0zSJ969_JJR9fA.jpg
Bangkok,4046,2019,2,190,13.76071111005,100.5284202584874,downloaded_data/Images/Bangkok/Bangkok_0004046_2019_02_190_13.76071111005_100.5284202584874_Gue7t-VbSsm_AD4oR0oUFQ.jpg
Bangkok,2457,2019,6,289,13.74321488745345,100.508746555481,downloaded_data/Images/Bangkok/Bangkok_0002457_2019_06_289_13.74321488745345_100.508746555481_ih2efUN-j6dYw_FglCA99w.jpg
Bangkok,4643,2017,5,433,13.76823803411466,100.5117750492012,downloaded_data/Images/Bangkok/Bangkok_0004643_2017_05_433_13.76823803411466_100.5117750492012_Uu1m-G3af6MRY_AuR_Ouug.jpg
Bangkok,160,2016,10,274,13.71632378154018,100.5567361052295,downloaded_data/Images/Bangkok/Bangkok_0000160_2016_10_274_13.71632378154018_100.5567361052295_k8Nz7P7Hrm0jbxV7AZQV9g.jpg
Bangkok,757,2017,11,516,13.72349941695784,100.5508401819266,downloaded_data/Images/Bangkok/Bangkok_0000757_2017_11_516_13.72349941695784_100.5508401819266_WAWOo8IfOwm9_3MEBCY71A.jpg
Bangkok,1114,2017,6,670,13.7272223746356,100.5512800377751,downloaded_data/Images/Bangkok/Bangkok_0001114_2017_06_670_13.7272223746356_100.5512800377751_44aX48pfyYJAvvv4F7k7Uw.jpg
Bangkok,1591,2011,9,528,13.73332991759313,100.508805131877,downloaded_data/Images/Bangkok/Bangkok_0001591_2011_09_528_13.73332991759313_100.508805131877_Ipn80xR2iLh0aMrt-zmmuA.jpg
Bangkok,2172,2020,8,280,13.73927518052751,100.5666022465398,downloaded_data/Images/Bangkok/Bangkok_0002172_2020_08_280_13.73927518052751_100.5666022465398_rFf4_nHqR9MzQlvG7bo_qQ.jpg
